finding,fiscal_year,classification,status,detail,source_letter,source_section
Special Education Tuition Bills,FY2018,Material Weakness,Raised,"Prior-year SPED tuition bills not recorded in the year incurred; auditor classified as a material weakness.",data/FY18_Management_Letter.pdf,"Material Weakness - Special Education Tuition Bills, p2"
Special Education Tuition Bills,FY2019,Prior Year Comment,Addressed,"Town followed Bureau of Accounts recommendation and voted at Town Meeting to pay the prior-year bills; comment does not recur after FY2019.",data/FY19_Management_Letter.pdf,"Prior Material Weakness - Special Education Tuition Bills, p4"
Cash Reconciliations,FY2019,Current Year Comment,Raised,"First year the finding appears: Town's bank accounts not all reconciled from bank balances to the Treasurer's Cashbook during the year.",data/FY19_Management_Letter.pdf,"Cash Reconciliations, p2"
Cash Reconciliations,FY2020,Prior Year Comment,Unresolved,"Town unable to reconcile any cash balances during FY2020; reconciliations done after year-end with outside consultants. No formal documented procedures.",data/FY20_Management_Letter.pdf,"Cash Reconciliations, p4"
Cash Reconciliations,FY2021,Prior Year Comment,Unresolved,"Town unable to reconcile any cash balances during FY2021; completed after year-end with outside consultants except June.",data/FY21_Management_Letter.pdf,"Cash Reconciliations, p5"
Cash Reconciliations,FY2022,Material Weakness,Ongoing,"Elevated to a material weakness. ""Since fiscal year 2019..."" bank accounts not reconciled timely; FY2022 reconciliations not completed until end of FY2023; some bank accounts missing required transfers.",data/FY22_Management_Letter.pdf,"Material Weakness - Cash Reconciliations, p2"
Cash Reconciliations,FY2023,Prior Year Material Weakness,Resolved,"Town implemented a month-end checklist ensuring required reconciliations are performed and reviewed; bank-to-Cashbook and Cashbook-to-GL discrepancies resolved promptly. Auditor marked Resolved.",data/FY23_Management_Letter.pdf,"Material Weakness - Cash Reconciliations, p5"
Accounts Receivable Reconciliations,FY2020,Current Year Comment,Raised,"Receivable balances between the general ledger and Treasurer/Collector not reconciled monthly.",data/FY20_Management_Letter.pdf,"Accounts Receivable Reconciliations, p2"
Accounts Receivable Reconciliations,FY2021,Prior Year Comment,Resolved,"Town reconciled accounts receivable balances between general ledger and Treasurer/Collector as of year-end.",data/FY21_Management_Letter.pdf,"Accounts Receivable Reconciliations, p4"
Reconciliation of Accounts Receivable,FY2022,Current Year Comment,Raised,"Finding recurs: receivables not reconciled throughout the year; reconciliation done many months after year-end; bills not always committed to the ledger during the year.",data/FY22_Management_Letter.pdf,"Reconciliation of Accounts Receivable, p4"
Reconciliation of Accounts Receivable,FY2023,Prior Year Comment,Unresolved,"Still recommended; balances not reconciled monthly between GL and Treasurer/Collector.",data/FY23_Management_Letter.pdf,"Reconciliation of Accounts Receivable, p7"
Document Key Administrative and Financial Functions,FY2020,Current Year Comment,Raised,"Town has not documented daily/monthly/yearly key administrative and financial functions of the finance operation.",data/FY20_Management_Letter.pdf,"Document Key Administrative and Financial Functions, p2"
Document Key Administrative and Financial Functions,FY2021,Prior Year Comment,Unresolved,"Functions still not documented; auditor continues to recommend.",data/FY21_Management_Letter.pdf,"Document Key Administrative and Financial Functions, p4"
Document Key Administrative and Financial Functions,FY2022,Prior Year Comment,Unresolved,"Functions still not documented; auditor continues to recommend.",data/FY22_Management_Letter.pdf,"Document Key Administrative and Financial Functions, p6"
Document Key Administrative and Financial Functions,FY2023,Prior Year Comment,Resolved,"Auditor marked Resolved.",data/FY23_Management_Letter.pdf,"Document Key Administrative and Financial Functions, p6"
Internal Financial Statements,FY2021,Current Year Comment,Raised,"Town not producing/reconciling internal financial statements annually with adequate time to meet reporting requirements.",data/FY21_Management_Letter.pdf,"Internal Financial Statements, p2"
Internal Financial Statements,FY2022,Prior Year Comment,Carried,"Comment carried forward in FY2022; not separately marked Resolved.",data/FY22_Management_Letter.pdf,"Internal Financial Statements, p6"
Internal Financial Statements,FY2023,Prior Year Comment,Unresolved,"Town still not producing and reconciling internal financial statements annually within reporting timeframe.",data/FY23_Management_Letter.pdf,"Internal Financial Statements, p5"
Net Other Postemployment Benefit (OPEB) Trust Fund Liabilities,FY2022,Current Year Comment,Raised,"OPEB trust fund balance (Treasurer's balance) not reconciled.",data/FY22_Management_Letter.pdf,"Net Other Postemployment Benefit Trust Fund Liabilities, p4"
Net Other Postemployment Benefit (OPEB) Trust Fund Liabilities,FY2023,Prior Year Comment,Unresolved,"OPEB trust fund balance still not reconciled.",data/FY23_Management_Letter.pdf,"Net Other Postemployment Benefit Trust Fund Liabilities, p6"
Updating Worker Compensation Balances,FY2023,Current Year Comment,Raised,"Worker compensation balances not updated in the accounting records since 2021.",data/FY23_Management_Letter.pdf,"Updating Worker Compensation Balances, p2"
Internal Controls for Capital Asset Deletions,FY2023,Current Year Comment,Raised,"Absence of internal control process to monitor and record capital asset deletions.",data/FY23_Management_Letter.pdf,"Internal Controls for Capital Asset Deletions, p2"
Improve Oversight Over Payroll Withholding Balances,FY2023,Current Year Comment,Raised,"Town maintaining negative balances in its withholding accounts; recommend monthly analysis, reconciliation, and adjustment.",data/FY23_Management_Letter.pdf,"Improve Oversight Over Payroll Withholding Balances, p3"
